WordID	CategoryID	Word	MediaID	SOTU	TB
1	1	baby	baby	4	5.9
2	1	pets	pets	4	
3	1	mummy	mummy	5	
4	1	family	family	6	
5	1	father	father	6	
6	1	sister	sister	6	
7	1	brother	brother	7	
8	1	grandma	grandma	7	
9	1	grandpa	grandpa	7	
10	1	parent	parent	7	
11	2	ear	ear	3	3.9
12	2	eye	eye	3	
13	2	body	body	4	
14	2	hair	hair	4	
15	2	hand	hand	4	
16	2	head	head	4	
17	2	legs	legs	4	
18	2	neck	neck	4	
19	2	nose	nose	4	
20	2	mouth	mouth	5	
21	3	cat	cat	3	4.9
22	3	dog	dog	3	
23	3	fish	fish	4	
24	3	pony	pony	4	
25	3	mouse	mouse	5	
26	3	canary	canary	6	
27	3	lizard	lizard	6	
28	3	parrot	parrot	6	
29	3	rabbit	rabbit	6	
30	3	turtle	turtle	6	
31	4	bath	bath	4	6.1
32	4	comb	comb	4	
33	4	soap	soap	4	
34	4	brush	brush	5	
35	4	towel	towel	5	
36	4	shower	shower	6	
37	4	sponge	sponge	6	
38	4	shampoo	shampoo	7	
39	4	toothbrush	toothbrush	10	
40	4	toothpaste	toothpaste	10	
41	5	sofa	sofa	4	6.4
42	5	clock	clock	5	
43	5	phone	phone	5	
44	5	plant	plant	5	
45	5	table	table	5	
46	5	carpet	carpet	6	
47	5	picture	picture	7	
48	5	armchair	armchair	8	
49	5	fireplace	fireplace	9	
50	5	television	television	10	
51	6	bed	bed	3	5.8
52	6	desk	desk	4	
53	6	sofa	sofa	4	
54	6	chair	chair	5	
55	6	stool	stool	5	
56	6	table	table	5	
57	6	armchair	armchair	8	
58	6	bookcase	bookcase	8	
59	6	cupboard	cupboard	8	
60	6	wardrobe	wardrobe	8	
61	7	map	map	3	6.1
62	7	book	book	4	
63	7	board	board	5	
64	7	globe	globe	5	
65	7	pupil	pupil	5	
66	7	pencil case	pencil_case	11	
67	7	teacher	teacher	7	
68	7	school bag	school_bag	10	
69	7	notebook	notebook	8	
70	7	classroom	classroom	9	
71	8	hot	hot	3	5.1
